Ticker,Expected_return,Volatility,cik,calendarYear,period,Face_value,enterpriseValue,PD
ABB,0.380300512,0.224739058,1091587,2021,FY,4047000000,74010557889,5.13E-48
ADES,0.175186732,0.502529939,1515156,2021,FY,2587000,36200158.2,4.45E-08
ADV,-0.383642075,0.366123179,1776661,2021,FY,1069475000,4065084385,0.007843214
AE,0.143407901,0.53348801,2178,2021,FY,13146000,50202305.63,0.005973036
AMPY,1.301555942,0.967034605,1533924,2021,FY,115000000,348087907.4,0.022338386
AMR,3.539033465,0.719297533,1704715,2021,FY,225770000,1549780217,2.27E-13
AMTX,4.634102547,1.596420231,738214,2021,FY,15370,265720917,1.04E-16
APA,0.972452421,0.585654618,1841666,2021,FY,3961500000,19845259320,1.90E-05
AR,2.328844663,0.655113675,1433270,2021,FY,3001126500,10891041678,1.02E-07
ARKO,-0.023390023,0.362817414,1823794,2021,FY,1089400500,2383009214,0.027969688
ARKOW,12365.91337,0,1823794,2021,FY,1089400500,1995344080,0
ARLP,1.928491823,0.478402194,1086600,2021,FY,234694000,2195031232,1.28E-17
AROC,-0.119302973,0.372670673,1389050,2021,FY,773382500,2812151140,0.001550548
AURA,0.147297251,0.56612934,1501796,2021,FY,795000,98522619,1.03E-17
BATL,0.216286829,0.701936819,1282648,2021,FY,91696500,360518015.1,0.028224027
BKR,0.163365553,0.380321243,1701605,2021,FY,3383500000,21206999865,2.04E-07
BORR,0.259138235,0.832999404,1715497,2021,FY,957950000,2162578029,0.191578162
BP,0.317363689,0.340644596,313807,2021,FY,38545500000,1.44E+11,1.86E-06
BPT,0.859402485,0.68819664,850033,2021,FY,0,140374004.3,0
BRN,2.480830149,2.43474873,10048,2021,FY,113500,10857992.7,0.046988102
BRY,1.263173444,0.612641732,1705873,2021,FY,197283000,1085651289,2.83E-06
BSM,0.678361166,0.349616146,1621434,2021,FY,44500000,2393152950,7.13E-40
BTU,4.09732917,1.211619586,1064728,2021,FY,628700000,1325394000,0.000347638
CCLP,0.101459725,0.686688239,1449488,2021,FY,324394500,708256199.5,0.173217667
CDEV,2.933511174,0.85003224,1658566,2021,FY,422196500,3074461084,4.12E-08
CEI,-0.015831748,1.978121619,1309082,2021,FY,10750000,85128869.04,0.480455985
CEQP,0.400790007,0.390148884,1136352,2021,FY,0,2748022718,0
CHK,0.434096338,0.352471846,895126,2021,FY,1168000000,1402000000,0.057811197
CHKEL,0.871428571,0.608075103,895126,2021,FY,1168000000,1402000000,0.076450493
CHKEW,0.775999959,0.577890916,895126,2021,FY,1168000000,1402000000,0.085365775
CHRD,2.576666611,0.468838967,1486159,2021,FY,207517000,2889728057,7.26E-28
CIVI,1.627730191,0.563105084,1509589,2021,FY,18873000,1687162578,1.69E-26
CKX,0.121980163,0.411939555,352955,2021,FY,0,15074506.63,0
CLB,-0.121288748,0.530401058,1000229,2021,FY,119002000,1374567622,1.90E-05
CLMT,3.082515503,0.700399163,1340122,2021,FY,828450000,2663869205,5.37E-09
CLR,1.889209326,0.583128694,732834,2021,FY,3424183000,25555326437,8.02E-11
CNX,0.306155637,0.451981229,1070412,2021,FY,1148000500,5508511715,4.41E-05
COP,0.785994354,0.364239361,1163165,2021,FY,10567000000,1.33E+11,2.13E-19
CPE,2.59861036,0.871304215,928022,2021,FY,1347057500,5002899100,2.53E-05
CRC,0.80590797,0.458382139,1609253,2021,FY,0,3179180164,0
CRGY,-0.246135521,0.145303738,1866175,2021,FY,516809000,1450361562,4.78E-08
CRK,0.919039441,0.568227559,23194,2021,FY,1314135000,4432293020,0.000257536
CRT,0.372210606,0.414416412,881787,2021,FY,0,82740000,0
CTRA,0.190016166,0.383278528,858470,2021,FY,1562500000,10709008911,5.02E-08
CVI,0.121373415,0.694098993,1376139,2021,FY,846000000,3132800000,0.043269109
CVX,0.393857862,0.251942377,93410,2021,FY,15812500000,2.70E+11,2.96E-37
DEN,2.111290964,0.508935016,945764,2021,FY,30724000,27494363100,5.72E-67
DINO,0.239632847,0.437960353,1915657,2021,FY,1801348000,8928670555,3.40E-05
DK,-0.110159759,0.571770664,1694426,2021,FY,1285000000,2717035439,0.202976624
DKL,0.115198366,0.273929423,1552797,2021,FY,463331500,2857543108,2.18E-12
DMLP,0.850510245,0.337116464,1172358,2021,FY,1088000,781167032.3,2.97E-106
DVN,1.842604813,0.531176239,1090012,2021,FY,3367000000,39522349458,2.25E-15
DWSN,0.07369175,0.648202624,799165,2021,FY,3234000,34543893.22,0.000287063
E,0.35461282,0.241814518,1002242,2021,FY,19079500000,71079891967,5.83E-12
EC,0.001544422,0.338675484,1444406,2021,FY,5.21E+13,1.91E+14,0.000121787
EDR,0.453749975,0.419449299,1766363,2021,FY,3057384000,12311751597,1.38E-05
EGY,0.895528193,0.660345666,894627,2021,FY,9935500,204373100,1.04E-08
EME,0.35904082,0.300660045,105634,2021,FY,307192000,6049216937,3.11E-28
ENB,0.22086805,0.189543255,895728,2021,FY,41659500000,1.81E+11,5.76E-19
ENSV,-0.543850277,0.989150216,319458,2021,FY,13163500,23574350,0.675548869
EPM,0.85367359,0.60897397,1006655,2021,FY,2074606.5,139181287.2,6.02E-16
EQNR,0.647478108,0.337204815,1140625,2021,FY,21313000000,1.14E+11,8.80E-12
EQT,0.810478301,0.553576312,33213,2021,FY,954900000,8383519880,1.60E-07
ESTE,1.175761836,0.777957843,10254,2021,FY,1319000,394273031.3,1.46E-17
ETRN,0.238081971,0.427155998,1747009,2021,FY,3469972500,9611793531,0.003176644
FANG,1.253166811,0.539377496,1539838,2021,FY,3452000000,29420795440,8.39E-10
FTK,-0.497450589,0.907907351,928054,2021,FY,7671000,57131227.2,0.113194927
GEL,0.699642886,0.509109089,1022321,2021,FY,1489752500,4307887000,0.000674438
GLNG,0.33060068,0.516358779,1207179,2021,FY,1730326000,3708348000,0.031561201
GLOP,0.600724516,0.664962401,1598655,2021,FY,625652500,1177710022,0.063986396
GLP,0.437168284,0.342366579,1323468,2021,FY,919730500,2469999573,3.29E-05
GMS,1.309553636,0.53994404,1600438,2021,FY,590841500,2893388350,1.72E-07
GPOR,-0.012611353,0.290007808,874499,2021,FY,356725000,11035315548,1.21E-31
GPRK,-0.145016466,0.432522717,1464591,2021,FY,360491500,1441975437,0.003981794
GTE,1.111111001,0.868470267,1273441,2021,FY,360689000,949390861.5,0.025025264
HAL,0.20557132,0.448378119,45012,2021,FY,5233000000,35210840894,3.63E-06
HES,0.402614484,0.440095387,4447,2021,FY,4873500000,34501872624,1.36E-07
HESM,0.384440262,0.347617539,1789832,2021,FY,1291750000,3088758644,0.000290893
HLX,-0.250068027,0.639808495,866829,2021,FY,254779500,684128560,0.202404106
HNRG,0.707621783,0.858002288,788965,2021,FY,53882500,156650000,0.05054836
HP,0.721566027,0.579126699,46765,2021,FY,786040500,3505107817,0.00020173
HPK,-0.052857807,0.786559752,1792849,2021,FY,48964500,1718253416,2.42E-05
HPKEW,0.267000796,1.356284851,1792849,2021,FY,48964500,63060000,0.615906845
HUSA,-0.210873471,1.088487067,1156041,2021,FY,57.174,10057154.85,1.93E-25
ICD,0.096765224,0.969496918,1537028,2021,FY,75334000,166735770,0.331949421
INDI,-0.111564285,0.629061632,1841925,2021,FY,5084000,612001370,5.26E-13
INDO,-0.696853331,0.767541416,1757840,2021,FY,1480452,42576256.4,0.001019229
INT,-0.141517012,0.445903718,789460,2021,FY,269650000,1607007000,0.000267301
KNTK,0.256984164,0.513496699,1692787,2021,FY,1227711500,2936900664,0.026052392
KOS,0.478605774,0.827689469,1509991,2021,FY,1325247500,4285899288,0.05677002
KRP,0.838591865,0.365505905,1657788,2021,FY,109838592.5,710898414.1,2.58E-13
LBRT,-0.033614676,0.665531658,1694028,2021,FY,142207000,1261884560,0.001884184
LPI,2.149895186,0.879783633,1528129,2021,FY,723534000,2471740280,0.000336717
MARPS,1.42120298,2.247133781,62362,2021,FY,0,7937977.2,0
METC,3.869791465,0.824790967,1687187,2021,FY,5130500,489758400,5.28E-23
MGY,1.748521628,0.531574462,1698990,2021,FY,194043500,3632489234,7.03E-18
MMLP,0.886156063,0.728175592,1176334,2021,FY,257572000,628077013.9,0.01890211
MMP,0.066662398,0.24566013,1126975,2021,FY,2585600000,15526014701,4.83E-14
MNRL,0.964417248,0.425522846,1745797,2021,FY,50549000,912144960,4.30E-19
MPC,0.524328823,0.325727556,1510295,2021,FY,13956500000,68211202012,1.32E-10
MPLX,0.386944953,0.276971363,1552000,2021,FY,9696500000,52811340210,8.02E-14
MRO,1.520821975,0.564599038,101778,2021,FY,2025000000,19048080157,8.78E-11
MTDR,2.170512395,0.642659925,1520006,2021,FY,795972000,6806239000,8.01E-11
MTR,0.518373228,0.774406599,313364,2021,FY,0,13492389.96,0
MUR,1.232751855,0.660744166,717423,2021,FY,1372781000,6904400739,3.45E-05
MVO,1.857341247,0.586360842,1371782,2021,FY,0,105042851.7,0
MXC,2.952941136,1.962798167,66418,2021,FY,599439.5,16642733.46,0.013331347
NBR,0.449738365,0.806831436,1163739,2021,FY,1636819500,3125957800,0.169565947
NCSM,0.316478698,0.693725748,1692427,2021,FY,11541500,92133640.17,0.000955467
NE,0.002424221,0.327855105,1458891,2021,FY,108000000,6281630069,9.87E-35
NEX,0.076975654,0.703270622,1688476,2021,FY,237152000,1679517010,0.005521618
NEXT,0.383210085,1.19091514,1612720,2021,FY,596000,231246320,1.11E-06
NFG,0.273831796,0.24415752,70145,2021,FY,1472843500,7989308969,1.14E-15
NGL,-0.381360928,1.021708441,1504461,2021,FY,1760586500,3740530345,0.558253767
NINE,-0.629649661,0.947183917,1532286,2021,FY,190661000,387831597.8,0.651244601
NOG,1.381497363,0.655171662,1104485,2021,FY,401718500,2321788365,4.12E-06
NRP,1.501252027,0.46973899,1171486,2021,FY,236323500,739923620.2,3.51E-08
NRT,2.337714296,0.474254733,72633,2021,FY,0,80662534.46,0
NVVE,-0.281282966,0.973668306,1836875,2021,FY,1762334,86128325.12,0.000643969
NVVEW,6356.279178,0,1836875,2021,FY,1762334,1.25E+13,0
OII,0.472747166,0.730862902,73756,2021,FY,351033500,1485287854,0.012064378
OSG,-0.142021259,0.613656752,75208,2021,FY,383566500,716254044.5,0.315811808
OVV,1.454658032,0.550376323,1792580,2021,FY,2922000000,15490882681,3.36E-08
OXY,0.688299738,0.581489117,797468,2021,FY,15380000000,62672709440,0.000468306
PAA,0.127992797,0.387831747,1070423,2021,FY,4707500000,16273880215,0.000427401
PAGP,0.208520838,0.395753675,1581990,2021,FY,4707500000,11900063764,0.003765966
PARR,0.13566802,0.597254919,821483,2021,FY,512732000,1634797320,0.030745929
PBA,0.297080976,0.259261117,1546066,2021,FY,6525000000,33505949723,1.18E-13
PBF,0.759865229,0.886938821,1534504,2021,FY,2544400000,5616783346,0.09576532
PBR,-0.02574439,0.488042966,1119639,2021,FY,33908000000,1.36E+11,0.005505008
PBT,2.152764511,0.458570928,319654,2021,FY,0,594262146.8,0
PDCE,1.358674539,0.579320327,77877,2021,FY,481376000,6788525431,1.75E-11
PFC,0.331058257,0.326830842,946647,2021,FY,42488000,964568000,1.20E-25
PFIE,0.213536374,0.609508966,1289636,2021,FY,78384,43508378.04,1.08E-25
PGR,0.019754065,0.21208729,80661,2021,FY,2449400000,68280284702,1.07E-55
PHAR,-0.422296588,0.440915744,1828316,2021,FY,73257000,442897854,0.001849546
PHX,1.139860178,0.816019407,315131,2021,FY,9276956.5,94796744.44,6.23E-05
PMO,0.195937505,0.101141256,900422,2021,FY,0,477172761.6,0
PNRG,0.643748587,0.731063435,56868,2021,FY,18000000,177229300,0.000134503
POWL,0.012326909,0.366895488,80420,2021,FY,0,188377307,0
PPC,0.370946503,0.32505293,802481,2021,FY,1840456500,9875546477,3.94E-10
PRT,1.620337502,0.500669137,1724009,2021,FY,0,97812485.28,0
PSX,0.035141969,0.358403482,1534701,2021,FY,7968500000,48373359000,3.70E-07
PTEN,0.655329541,0.67449088,889900,2021,FY,442106500,2654969040,0.000497194
PTR,0.435848359,0.363061183,1108329,2021,FY,2.65E+11,9.29E+11,3.85E-06
PUMP,0.122773277,0.638916422,1680247,2021,FY,417500,961388230,2.01E-33
PVL,2.009194625,0.7767081,1520048,2021,FY,0,71212887.3,0
PXD,0.591230579,0.379401222,1038357,2021,FY,3830500000,55758925357,1.77E-17
REI,2.50688682,1.006766008,1384195,2021,FY,146762849.5,543360614.4,0.000506638
REPX,1.211580269,2.405455522,1001614,2021,FY,32428000,470398141.2,0.33986785
RES,0.555656273,0.699655472,742278,2021,FY,36440500,1242612200,2.02E-08
RIG,0.199977532,0.851549432,1451505,2021,FY,4127000000,8721900000,0.24578938
RNGR,2.100470918,0.673032275,1699039,2021,FY,9000000,103668569.3,7.01E-11
ROCC,1.788094101,0.776296897,77159,2021,FY,306156500,1105975550,0.000178682
ROSE,0.003337715,0.023593546,1870129,2021,FY,0,143446588.4,0
RPT,0.487809237,0.322929486,842183,2021,FY,468718500,1897844756,6.75E-09
RRC,1.831987274,0.65612523,315852,2021,FY,1584332500,7426103390,7.23E-07
RTLR,0.195356943,0.369332708,1748773,2021,FY,343978000,1187807428,0.000107904
SBOW,3.231067612,0.694248069,351817,2021,FY,193634500,649220420,7.26E-10
SBR,0.520930321,0.244802508,710752,2021,FY,0,705198762.3,0
SCL,0.057279253,0.240446761,94049,2021,FY,161431000,2658184175,2.84E-32
SD,2.73338221,0.790225077,1349436,2021,FY,0,262099910,0
SEV,-0.747905761,0.501972908,1840416,2021,FY,3648500,119534250.9,9.43E-08
SHEL,0.266340489,0.312219285,1306965,2021,FY,48652000000,2.50E+11,1.40E-09
SHLX,0.139455867,0.33854145,1610466,2021,FY,1559500000,7443369118,5.89E-07
SJT,1.315069605,0.582431921,319655,2021,FY,0,312278923.9,0
SLB,0.379507002,0.414928078,87347,2021,FY,7552000000,68069360421,9.50E-10
SLDP,-0.126000023,0.499478937,1844862,2021,FY,125,1001483451,1.10E-215
SM,4.005895382,0.907743112,893538,2021,FY,1040582000,5576599800,3.15E-09
SMLP,0.788806629,0.708656096,1549922,2021,FY,677536000,1510239780,0.029387389
SNMP,-0.064498916,1.634322961,1362705,2021,FY,29367000,55418880.54,0.680128007
SNP,0.04890441,0.287306817,1123658,2021,FY,1.84E+11,6.18E+11,1.15E-05
SRLP,-0.245718203,0.526288802,1525287,2021,FY,0,442869491.2,0
SSL,0.939327839,0.69329564,314590,2021,FY,63101500000,2.27E+11,0.002167105
STR,0.644192307,0.47489062,1703785,2021,FY,20000000,267910581.2,2.30E-11
SUN,0.410313511,0.195596214,1552275,2021,FY,1910000000,7455767023,1.58E-19
SWN,0.605738377,0.661436396,7332,2021,FY,2868500000,8056463754,0.015922485
TA,0.458606599,0.6117738,1378453,2021,FY,1210924000,2245303017,0.073106781
TALO,0.225404197,0.665973308,1724965,2021,FY,494273500,1748103887,0.028569806
TANNI,-0.007142532,0.12488191,1378453,2021,FY,2271764500,4670496746,7.95E-09
TANNL,0.047414543,0.114331675,1378453,2021,FY,2271764500,4681176834,1.19E-11
TANNZ,0.015822728,0.091389035,1378453,2021,FY,2271764.5,1019847192,0
TDW,0.269712053,0.526831352,98222,2021,FY,83942500,654897590,1.68E-05
TELL,1.406249995,1.064310159,61398,2021,FY,29122500,376689073.2,0.000700726
TPL,0.787688245,0.506039278,1811074,2021,FY,722500,7580914145,7.82E-86
TRIN,0.171999995,0.248621186,1786108,2021,FY,275159000,909499595.3,3.80E-08
TRP,0.146295422,0.20002238,1232384,2021,FY,29816000000,1.13E+11,1.37E-13
TTE,0.19338273,0.257564509,879764,2021,FY,39791000000,1.86E+11,1.85E-11
TTI,2.878312319,0.872324709,844965,2021,FY,99790500,540733489,7.91E-07
UGP,-0.410786118,0.512627251,1094972,2021,FY,10390418500,32820815884,0.117802108
USAC,0.250067567,0.31707966,1522727,2021,FY,995892500,3526318639,1.94E-06
USEG,-0.096925248,0.970221965,101594,2021,FY,123500,9860750.049,4.26E-05
VAL,0.518987293,0.423382351,314808,2021,FY,282650000,2989350041,2.27E-11
VIST,1.049499558,0.545138221,1762506,2021,FY,404467500,1184753600,0.00014499
VIVK,-0.534520006,1.153171458,1450704,2021,FY,9114539.5,110494116.3,0.130597686
VLO,0.308020204,0.382591942,1035002,2021,FY,8352000000,44136871506,3.43E-07
VNOM,0.922288157,0.438893703,1602065,2021,FY,388363500,2543141480,3.55E-10
VOC,1.283905586,0.490834771,1505413,2021,FY,0,96952792.6,0
VTNR,5.773411098,1.980900949,890447,2021,FY,37766179,205022611.4,0.002733923
WEN,0.123355113,0.384279651,30697,2021,FY,1971743500,7997010184,8.08E-05
WES,0.655741362,0.428290077,1423902,2021,FY,3706240000,16918290648,5.81E-07
WTI,0.509057253,0.684635065,1288403,2021,FY,393657500,1088004740,0.029638377
WTTR,0.556573474,0.71037635,1693256,2021,FY,40709000,530379291.9,2.65E-05
XOM,0.494557195,0.301954846,34088,2021,FY,25990000000,3.63E+11,8.41E-25
XPRO,-0.133500325,0.805697372,1575828,2021,FY,65572000,1553864421,0.000389478
YPF,-0.218361203,0.570686847,904851,2021,FY,4.63E+11,9.03E+11,0.308134155
ZEN,-0.29233842,0.414937018,1463172,2021,FY,682272000,11618782400,1.61E-09
ZEST,3.215455203,1.192837618,1437491,2021,FY,2795000,71878867.94,7.13E-07